Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
4452;7.4;6.6;5.7;9.2;11.9;16.2;19.6;19.1;15.9;13.0;7.0;4.6;11.4
3469A;6.2;5.3;5.0;8.2;10.8;15.6;20.3;20.1;16.2;12.7;6.8;4.5;11.0
