Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
4452;36.3;82.4;5.8;69.0;17.2;45.2;0.0;0.0;81.1;55.2;5.2;49.2;446.6
3469A;41.6;99.2;0.0;99.6;8.2;26.8;0.0;1.0;57.8;111.4;1.4;33.3;480.3
