Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
4452;3.9;3.2;7.5;10.1;13.5;18.3;17.8;18.9;16.2;14.3;9.5;4.6;11.5
3469A;3.3;2.9;7.3;10.3;12.7;18.0;19.3;20.4;16.1;14.6;9.1;4.6;11.6
