Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
4452;14.0;16.8;21.7;27.9;27.5;33.1;35.9;37.4;29.7;26.9;18.9;13.9;25.3
3469A;11.9;14.0;19.5;25.6;25.1;30.7;34.9;35.8;28.1;24.9;16.9;12.1;23.3
