Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
4452;15.9;18.8;18.0;21.6;30.3;32.0;39.0;36.0;29.9;27.5;18.8;17.0;25.4
3469A;14.1;16.8;15.6;19.3;28.3;31.0;38.1;35.5;28.4;25.9;17.0;15.1;23.8
