Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
4452;12.7;17.2;20.9;22.7;26.9;31.0;34.5;35.6;29.6;26.4;17.4;16.5;24.3
3469A;11.4;15.2;18.2;20.5;25.0;29.9;33.5;34.9;27.7;24.3;15.2;15.1;22.6
