Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
4452;1.9;6.7;6.9;9.9;13.7;17.7;17.5;17.7;15.0;12.5;6.2;3.5;10.8
3469A;2.8;6.4;6.5;9.5;13.4;18.9;19.0;19.3;15.5;13.5;6.6;3.8;11.3
