Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
4452;14.8;19.6;20.0;21.3;28.8;30.8;38.4;35.0;31.5;24.1;19.3;14.2;24.8
3469A;12.5;17.2;17.5;19.0;26.3;29.3;37.1;33.7;29.7;21.9;17.6;12.4;22.9
