Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
4452;FALSO;FALSO;;FALSO;VERDADERO;FALSO;VERDADERO;FALSO;FALSO;VERDADERO;FALSO;VERDADERO
3469A;FALSO;FALSO;VERDADERO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
