Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
4452;4.0;5.9;7.5;10.5;14.4;14.5;19.8;17.4;16.1;10.3;9.7;6.1;11.4
3469A;4.4;6.8;7.4;10.1;13.4;14.9;21.1;18.5;15.9;10.5;9.5;5.6;11.5
