Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
4452;26.0;1.8;65.8;83.4;44.0;0.0;3.8;0.0;15.4;48.2;83.4;46.4;418.2
3469A;33.8;0.2;67.2;120.2;45.4;1.2;9.6;0.0;26.0;94.8;87.8;32.2;518.4
