Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
4452;35.2;6.0;16.6;7.4;18.6;6.2;0.0;0.0;35.6;178.0;46.8;17.8;368.2
3469A;46.8;3.6;5.2;6.4;40.6;78.4;0.0;0.0;50.4;173.6;88.6;27.6;521.2
