Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
4452;38.8;24.0;160.4;71.8;24.6;19.8;5.6;0.0;7.6;60.1;67.6;12.0;492.3
3469A;41.4;48.0;231.2;111.8;45.6;9.6;1.8;0.0;24.3;105.6;108.6;23.7;751.6
