Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
4452;4.2;3.1;7.2;9.2;11.3;15.8;16.3;19.0;18.1;11.9;8.2;4.3;10.7
3469A;4.2;3.1;6.3;8.8;10.8;15.6;17.2;20.2;18.4;11.9;8.5;4.4;10.8
