Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
4452;1.8;3.7;5.9;8.8;13.1;14.4;17.3;17.6;16.2;12.0;9.6;7.1;10.6
3469A;2.4;4.0;6.0;8.0;12.8;14.7;18.8;18.9;16.3;12.5;8.9;6.9;10.9
