Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
4452;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;VERDADERO;;FALSO;VERDADERO;
3469A;VERDADERO;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;VERDADERO;
