Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
4452;25.0;59.8;46.8;5.0;11.4;3.0;14.8;8.8;0.0;9.0;37.6;28.8;250.0
3469A;24.4;81.9;40.4;8.0;41.0;9.0;4.4;9.7;0.0;4.4;35.2;35.1;293.5
