Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
4452;FALSO;FALSO;FALSO;VERDADERO;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;;FALSO;FALSO;
3469A;FALSO;FALSO;VERDADERO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;
