Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
4452;14.3;16.0;16.8;20.9;25.1;30.0;32.5;37.4;34.0;24.4;17.4;14.5;23.6
3469A;12.8;13.2;14.1;18.4;22.9;28.4;31.6;36.2;32.5;22.7;15.4;13.6;21.8
