Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
4452;3.2;7.7;6.6;11.3;11.5;14.6;16.3;17.4;16.0;11.9;5.0;6.7;10.7
3469A;2.9;7.5;6.0;10.0;11.5;15.3;17.6;18.9;15.9;12.2;5.5;7.1;10.9
