;Código;Tipo de foco;País;CCAA;Provincia;Comarca Ganadera (en focos nacionales);Región (en focos extranjeros);Municipio;UVL;Enfermedad;Nº de Especies Afectadas;Serotipo;Especie;Sensibles;Afectados;Fecha de confirmación
;2016/15  ;Secundario;España;EXTREMADURA;BADAJOZ;DON BENITO;;Navalvillar de Pela;Badajoz;Lengua azul;1;01;Ovinos;553;1;21/11/2016
;2016/14  ;Secundario;España;EXTREMADURA;BADAJOZ;JEREZ DE LOS CABALLEROS;;Barcarrota;Badajoz;Lengua azul;1;01;Bovinos;190;0;21/11/2016
;2016/13  ;Secundario;España;EXTREMADURA;BADAJOZ;HERRERA DEL DUQUE;;Valdecaballeros;Badajoz;Lengua azul;1;01;Caprinos;146;0;21/11/2016
;2016/12  ;Secundario;España;EXTREMADURA;BADAJOZ;MERIDA;;Mérida;Badajoz;Lengua azul;1;01;Bovinos;99;0;21/11/2016
;2016/11  ;Secundario;España;EXTREMADURA;BADAJOZ;CASTUERA;;Capilla;Badajoz;Lengua azul;1;01;Caprinos;43;0;21/11/2016
;2016/5   ;Secundario;España;EXTREMADURA;BADAJOZ;DON BENITO;;Don Benito;Badajoz;Lengua azul;1;01;Bovinos;125;0;17/10/2016
;2016/4   ;Secundario;España;EXTREMADURA;BADAJOZ;AZUAGA;;Azuaga;Badajoz;Lengua azul;1;01;Caprinos;127;0;26/09/2016
