Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
4452;VERDADERO;FALSO;FALSO;VERDADERO;FALSO;FALSO;;;;VERDADERO;FALSO;FALSO
3469A;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;VERDADERO;VERDADERO;FALSO;FALSO
