Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
4452;FALSO;FALSO;FALSO;;FALSO;VERDADERO;FALSO;FALSO;VERDADERO;FALSO;FALSO;VERDADERO
3469A;FALSO;VERDADERO;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;VERDADERO;VERDADERO;FALSO;FALSO;VERDADERO

