Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
4452;FALSO;VERDADERO;FALSO;;FALSO;FALSO;FALSO;FALSO;FALSO;VERDADERO;VERDADERO;FALSO
3469A;FALSO;FALSO;FALSO;FALSO;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO
